"No","Kategori","Kategori_Slug","İçereceği Eşyalar (Craft & Oyun İhtiyacı)","Kopyalanabilir Yapay Zeka Promptu (Direct Front Orthographic View)"
1,"Ev Ahşap Mobilyaları","ahsap_mobilya","Ahşap kapı, Yemek masası, Sandalye, Pencere, Kitaplık, Gardırop, Küçük pencere, Komodin, Sallanan sandalye, Tabure, Sandık","knolling sprite sheet collection of rustic wooden furniture, heavy oak dining table, carved chair, bookshelf, rustic door, nightstand, wardrobe closet, wooden stool, window frame, rocking chair, treasure chest, straight-on front view, direct frontal orthographic angle, flat 2D game asset, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
2,"Elektronik El Aletleri","elektronik_aletler","Darbeli matkap, Havya lehim istasyonu, Sıcak hava tabancası, Multimetre, Taşlama makinesi, Vidalama, Dekupaj testere, Daire testere, Lazer metre, Zımpara makinesi, Batarya, Taşlama anahtarı","knolling sprite sheet collection of heavy duty electronic power tools, cordless impact drill, digital soldering station, heat gun, digital multimeter, angle grinder, electric jigsaw, cordless screwdriver, circular saw, laser measure, rotary sander, straight-on front view, direct frontal orthographic angle, flat 2D game asset, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
3,"Ev Elektroniği (Beyaz Eşya)","beyaz_esya","Buzdolabı, Retro buzdolabı, Çamaşır makinesi, Merdaneli makine, Tüplü TV, LCD TV, Mikrodalga, Tost makinesi, Dikey süpürge, Filtre kahve makinesi, Kettle, Ütü, Blender, Vantilatör","knolling sprite sheet collection of vintage and modern home appliances, refrigerator, front-load washing machine, retro CRT television, microwave, vacuum cleaner, toaster, drip coffee maker, electric kettle, flat iron, blender, desk fan, straight-on front view, direct frontal orthographic angle, flat 2D game asset, no text, no labels, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
4,"Büyülü Silahlar (Arcane)","buyulu_silahlar","Rünlü kılıç, Büyü asası, Alevli hançer, Kristal yay, Tırpan, Küreli asa, Şimşek mızrağı, Savaş baltası, Arbalet, Büyülü kalkan","knolling sprite sheet collection of enchanted arcane fantasy weapons, glowing engraved runic greatsword, ancient wizard staff, flaming curved dagger, frosted crystal bow, runic scythe, glowing orb scepter, lightning spear, runic battle axe, shadow crossbow, arcane crest shield, straight-on front view, direct frontal orthographic angle, flat 2D game asset, no text, no labels, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
5,"Büyülü Zırhlar","buyulu_zirhlar","Ametist göğüslük, Omuzluk sol, Omuzluk sağ, Boynuzlu miğfer, Rünik kemer, Bacak zırhı sol, Bacak zırhı sağ, Kolçak, Hız botları, Büyücü pelerini, Bileklik, Deri eldiven, Sihirli kese","knolling sprite sheet collection of enchanted mystical armor pieces, amethyst engraved breastplate, runic greaves, dragon scale full helmet, glowing arcane gauntlets, swift armored boots, enchanted cape, pair of pauldrons, mystic belt, winged bracers, straight-on front view, direct frontal orthographic angle, flat 2D game asset, no text, no labels, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
6,"Büyülü Takılar & Tılsımlar","buyulu_takilar","Zümrüt kolye, Safir küpe, Gümüş bileklik, Yakut yüzük, Opal broş, Ametist toka, Mühür yüzüğü, Koruyucu tılsım","knolling sprite sheet collection of magical jewelry and arcane talismans, emerald gold amulet necklace, sapphire gemstone earrings, runic silver cuff bracelet, ruby signet ring, fiery opal brooch, amethyst hairpin, ancient seal ring, protective talisman medallion, small crystal tiara, straight-on front view, direct frontal orthographic angle, flat 2D game asset, no text, no labels, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
7,"Gerçekçi Silahlar","gercekci_silahlar","Dürbünlü tüfek, Av arbaleti, Pompalı tüfek, 9mm tabanca, Av bıçağı, Şövalye kılıcı, Pala, Hafif makineli, Tomahawk balta, El bombası","knolling sprite sheet collection of authentic realistic weapons, tactical bolt-action rifle, matte black 9mm pistol, steel hunting knife, forged knight sword, modern hunting crossbow, pump shotgun, military machete, submachine gun, tactical tomahawk axe, frag grenade, straight-on front view, direct frontal orthographic angle, flat 2D game asset, no text, no labels, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
8,"Kademeli Zırhlar (Tier 1: Bakır / Bronz)","tier1_bronz_zirh","Bakır göğüslük, Sparta miğferi, Bacak zırhı sol, Bacak zırhı sağ, Bronz eldiven, Yuvarlak kalkan, Bakır omuzluk, Bronz kemer, Bakır çizme","knolling sprite sheet collection of tier 1 hammered copper and bronze armor pieces, hammered copper cuirass, bronze spartan helmet, copper greaves, riveted bronze gauntlets, round bronze shield, copper pauldrons, heavy bronze belt, laced copper-plated boots, straight-on front view, direct frontal orthographic angle, flat 2D game asset, no text, no labels, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
9,"Kademeli Zırhlar (Tier 2: Çelik / Karbon)","tier2_celik_zirh","Vizörlü kask, Çelik boyunluk, Çelik göğüslük, Çelik omuzluk, Çelik eldiven, Çelik dizlik, Kule kalkanı, Çelik çizme","knolling sprite sheet collection of tier 2 polished hardened steel knight armor, polished heavy steel breastplate, bascinet visor helmet, articulated steel gauntlets, plate greaves, steel kite shield, layered pauldrons, armored plate sabatons, steel gorget collar, straight-on front view, direct frontal orthographic angle, flat 2D game asset, no text, no labels, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
10,"Kademeli Zırhlar (Tier 3: Platinyum / Titanyum)","tier3_titanyum_zirh","Balistik yelek, Titanyum göğüslük, Karbon kask, Titanyum omuzluk, Enerji kolçağı, Taktik eldiven, Dış iskelet bacak, Kompozit bot, Güç kemeri","knolling sprite sheet collection of tier 3 ultra modern titanium and carbon composite armor pieces, high-tech tactical ballistic breastplate, carbon fiber full face helmet, exoskeleton leg braces, reinforced combat boots, forearm energy shield emitter, tactical combat gloves, utility power belt, sleek titanium pauldrons, accurate relative real-world scale proportions, proportional sizing, well-spaced knolling arrangement with generous gaps between items, no overlapping, distinct clean silhouettes, straight-on front view, direct frontal orthographic angle, flat 2D game asset, no text, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
11,"Manuel El Aletleri & Çanta","manuel_el_aletleri","Kırmızı alet çantası, Çekiç, Boru anahtarı, El testeresi, Pense, Düz tornavida, Lokma seti, Küçük ayarlı anahtar, Cırcır anahtar, Yıldız tornavida, Yeşil tornavida, Büyük ayarlı anahtar, Keski, Lokma tablası, Mezura","knolling sprite sheet collection of classic mechanic hand tools, rugged large red metal toolbox, heavy steel hammer, adjustable pipe wrench, handsaw, combination pliers, socket ratchet wrench, screwdrivers, crescent wrench, wood chisel, small tape measure, accurate relative real-world scale proportions, toolbox is largest and tape measure is smallest, well-spaced knolling arrangement with generous gaps between items, no overlapping, distinct clean silhouettes, straight-on front view, direct frontal orthographic angle, flat 2D game asset, no text, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
12,"Çeşitli Mobilyalar & Ev","cesitli_mobilyalar","Gardırop, Çift kişilik yatak, Kadife kanepe, Elbise askılığı, Duvar aynası, Berjer koltuk, Orta sehpa, Abajur masa lambası","knolling sprite sheet collection of domestic home furniture and decor, large tufted velvet sofa, leather bed frame, walnut wardrobe, wingback armchair, low coffee table, standing coat rack, ornate wall mirror, vintage brass lamp, accurate relative real-world scale proportions, wardrobe and bed are largest and lamp is smallest, well-spaced knolling arrangement with generous gaps between items, no overlapping, distinct clean silhouettes, straight-on front view, direct frontal orthographic angle, flat 2D game asset, no text, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
13,"Araba & Mekanik Parçaları","araba_parcalari","V8 motor bloğu, Yarış koltuğu, Alaşım jant, Egzoz manifoldu, Akü, Turboşarj, Amortisör, Spor direksiyon, Yarış direksiyonu, Fren diski, Dinamo, Buji","knolling sprite sheet collection of automotive mechanics and performance car parts, large heavy V8 engine block, bucket racing seat, alloy wheel rim, chrome exhaust manifold, car battery, turbocharger, coilover shock absorber, sports steering wheel, brake disc with caliper, alternator, spark plug, accurate relative real-world scale proportions, engine block is largest and spark plug is smallest, well-spaced knolling arrangement with generous gaps between items, no overlapping, distinct clean silhouettes, straight-on front view, direct frontal orthographic angle, flat 2D game asset, no text, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
14,"Ofis Ekipmanları & Büro","ofis_ekipmanlari","Dosya dolabı, Ofis koltuğu, Monitör, PC kasası, Kahve makinesi, Klavye, Mouse, Zımba, Delgeç, Bant kesici, Yazıcı","knolling sprite sheet collection of modern office and workstation equipment, tall filing cabinet, desktop PC tower, widescreen monitor, mesh ergonomic office chair, laser printer, paper shredder, espresso coffee maker, mechanical keyboard, small metal stapler, hole puncher, accurate relative real-world scale proportions, filing cabinet and desk chair are large and stapler is small, well-spaced knolling arrangement with generous gaps between items, no overlapping, distinct clean silhouettes, straight-on front view, direct frontal orthographic angle, flat 2D game asset, no text, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
15,"Sanat Eserleri & Antikalar","sanat_antikalar","Yağlı boya tablo, Roma büstü, Gramofon, Şömine saati, Şamdan, Masa küresi, Porselen vazo, Mücevher kutusu, Hokka ve tüy kalem","knolling sprite sheet collection of high-value fine art and antique decor, large ornate gold framed oil painting, marble bust statue, vintage phonograph gramophone, bronze mantel clock, antique porcelain vase, silver candelabra, antique desk globe, small wooden jewelry box, feather quill and inkpot, accurate relative real-world scale proportions, painting and statue are largest and inkpot is smallest, well-spaced knolling arrangement with generous gaps between items, no overlapping, distinct clean silhouettes, straight-on front view, direct frontal orthographic angle, flat 2D game asset, no text, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
16,"Müzik Aletleri","muzik_aletleri","Elektro gitar, Akustik gitar, Saksafon, Akordeon, Keman ve yayı, Trompet, Klarnet, Tef, Trampet, Mızıka, Flüt","knolling sprite sheet collection of vintage musical instruments, sunburst electric guitar, wooden acoustic guitar, shiny brass saxophone, accordion, wooden violin with bow, brass trumpet, snare drum, silver flute, black clarinet, tambourine, pocket harmonica, accurate relative real-world scale proportions, guitars are largest and harmonica is smallest, well-spaced knolling arrangement with generous gaps between items, no overlapping, distinct clean silhouettes, straight-on front view, direct frontal orthographic angle, flat 2D game asset, no text, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
17,"Zanaat Tezgahı Çekirdek Donanımları","tezgah_donanimlari","Tezgah mengenesi, Ultrasonik temizleyici, Büyüteçli masa lambası, Lehim istasyonu, Torna aynası, Sıcak silikon tabancası, Dijital terazi, Mikrometre kumpas, Gravür el aleti dremel, Dremel freze uçları","knolling sprite sheet collection of precision workshop crafting equipment, heavy cast iron bench vise, ultrasonic cleaning chamber, articulated magnifying lamp, digital SMD soldering station, miniature lathe chuck, hot glue gun, precision digital scale, digital micrometer caliper, rotary engraving tool, accurate relative real-world scale proportions, bench vise is heavy and large and caliper is small, well-spaced knolling arrangement with generous gaps between items, no overlapping, distinct clean silhouettes, straight-on front view, direct frontal orthographic angle, flat 2D game asset, no text, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
18,"Laboratuvar, Kimya & Simya","laboratuvar_simya","Damıtma imbiği, Mikroskop, Deney tüpleri, Erlenmayer, Bunsen ocağı, Sacayak tel, Asit şişeleri, Havan ve tokmak, Petri kabı, Damlalık","knolling sprite sheet collection of alchemy laboratory glassware and chemical apparatus, large glass condenser distillation apparatus, vintage brass microscope, test tubes rack, erlenmeyer flask, bunsen burner, amber reagent bottles, stone mortar and pestle, petri dishes, glass eye dropper, accurate relative real-world scale proportions, distillation rig is largest and dropper is smallest, well-spaced knolling arrangement with generous gaps between items, no overlapping, distinct clean silhouettes, straight-on front view, direct frontal orthographic angle, flat 2D game asset, no text, clean isolated pure white background, studio lighting, ultra sharp details, 8k resolution"
